"LANGUAGE","Українська","Language name (in native language)."
"MOD_DESCRIPTION","Анархія реквізиту та інші функції","Mod description, visibile in content manager."
"OPTIONS_GENERAL","Основне","Options tab title."
"SHOW_BUTTONS","Показати кнопки стану","Checkbox in options panel."
"UI_OPTIONS","Користувацький інтерфейс","Options panel header."
"TRANSPARENT_UI","Використовувати прозоре тло кнопки","Checkbox in options panel."
"INITIAL_STATUS","Ввімкнути анархію після закінчення завантаження","Checkbox in options panel."
"RESET_POS","Скинути розташування кнопки","Button in options panel."
"PROP_OPTIONS","Опції реквізиту","Options panel header."
"TERRAIN_UPDATE","Оновити висоту реквізиту при зміні місцевості","Checkbox in options panel."
"TERRAIN_UPDATE_TIP","При виборі цього параметру висота реквізиту буде змінена відповідно до висоти місцевості, коли змінюється рельєф","Checkbox tooltip in options panel."
"KEEP_ABOVEGROUND","Тримати реквізит над землею","Checkbox in options panel."
"KEEP_ABOVEGROUND_TIP","Якщо вибрано, то реквізит будуть підняті до рівня місцевості, якщо рівень землі підіймається над ними","Checkbox tooltip in options panel."
"TROUBLESHOOTING","Усунення проблем","Options panel header."
"PROP_VISIBILITY","Видимість реквізиту","Options tab title."
"ADAPTIVE_VISIBILITY","Увімкнути адаптивну відстань видимості","Checkbox in options panel."
"ADAPTIVE_VISIBILITY_TIP","Увімкнення цієї опції активує динамічний розрахунок відстаней видимості на основі розмірів реквізиту з використанням нижченаведених параметрів.","Checkobx tooltip in options panel"
"FALLBACK_DISTANCE","Резервна максимальна відстань видимості","Slider in options panel."
"FALLBACK_DISTANCE_TIP","Це максимальна відстань видимості яку буде використано, якщо динамічну відстань не можна буде розрахувати.","Slider tooltop in options panel."
"MIN_DISTANCE","Мінімальна відстань видимості","Slider in options panel."
"MIN_DISTANCE_TIP","Все буде видно на цій відстані, незалежно від розміру.","Slider tooltop in options panel."
"DISTANCE_MULT","Множник відстані","Slider in options panel."
"DISTANCE_MULT_TIP","Змінює діапазон обчисленої видимості - вищі значення означають більшу видимість.","Slider tooltop in options panel."
"LOD_TRANSITION","Відстань переходу до LOD","Slider in options panel."
"LOD_TRANSITION_TIP","Модель буде переходити від нормальної до LOD на цих відсотках до максимальної відстані видимості.","Slider tooltop in options panel."
"ANARCHY_STATUS","Анархія реквізиту:","Prop anarchy status indicator text."
"ANARCHY_TIP","Якщо це ввімкнено, реквізит не буде автоматично сховано мережами або будівлями поряд.","Status indicator tooltip text."
"SNAPPING_STATUS","Прилипання реквізиту:","Status indicator text."
"SNAPPING_TIP","Якщо це увімкнено, новий реквізит буде прилипати до будівель при додаванні.","Status indicator tooltip text."
"ON","Увімк","Status indicator text."
"OFF","Вимк","Status indicator text."
"KEYS","Клавіші","Options tab title."
"KEY_ANARCHY","Перемкнути анархію реквізиту","Options panel key setting text."
"KEY_SNAPPING","Перемкнути прилипання реквізиту","Options panel key setting text."
"KEY_ELEVATION_UP","Підняти реквізит","Options panel key setting text."
"KEY_ELEVATION_DOWN","Опустити реквізит","Options panel key setting text."
"KEY_SCALE_UP","Збільшити розмір реквізиту","Options panel key setting text."
"KEY_SCALE_DOWN","Зменшити розмір реквізиту","Options panel key setting text."
"KEY_RESET_SCALE","Reset prop scaling to default","Options panel key setting text."
"REPEAT_DELAY","Затримка повторення клавіш (сек)","Options panel slider text."
"RESET_DEFAULT","Відновити за замовчуванням","Options panel button text."
